Date,Price,High,Low,Close,Vol
4/2/13,7917.600098,8059,7888.100098,8050.399902,281994600
4/3/13,8015.299805,8037.600098,7880.200195,7904.299805,247912000
4/4/13,7966.399902,8040.5,7821.700195,7847.899902,319341000
4/5/13,7880.399902,7935,7716.100098,7798.399902,274021600
4/8/13,7809.799805,7878.600098,7774.399902,7787.100098,196775000
4/9/13,7846.600098,7897.299805,7811.600098,7872.5,234157400
4/10/13,7917.600098,8179,7910.200195,8136.399902,425646200
4/11/13,8127.899902,8178.899902,8063.100098,8159.5,214751600
4/12/13,8084.899902,8103.399902,8011,8040.399902,231794200
4/15/13,8051.700195,8093.700195,7941.399902,8014.100098,233258200
4/16/13,7976.799805,8033.700195,7934.5,7948.700195,208225200
4/17/13,7984.700195,7992.399902,7743.600098,7803,308068600
4/18/13,7843.5,7923.899902,7764.200195,7812.5,245637600
4/19/13,7888,7955.799805,7851.100098,7915.5,290492000
4/22/13,7983.799805,8058.299805,7927.600098,8027.700195,184179200
4/23/13,8046.399902,8310.200195,8031.5,8289.299805,372071000
4/24/13,8300.200195,8412.400391,8287.5,8389.299805,329226800
4/25/13,8360,8388.799805,8270.200195,8365.099609,251465400
4/26/13,8323.400391,8329.700195,8251.5,8297,251945800
4/29/13,8324.700195,8463.900391,8324.700195,8450.900391,305490000
4/30/13,8488.799805,8524.200195,8397.799805,8419,263763800
5/2/13,8393.900391,8563.5,8286.599609,8406.400391,297681800
5/3/13,8445.700195,8566.099609,8410.299805,8544.799805,249998400
5/6/13,8551.200195,8553.799805,8472.599609,8503.799805,111252600
5/7/13,8541.900391,8589.400391,8500.099609,8544,245774800
5/8/13,8544,8614.5,8500,8597,263525000
5/9/13,8597.799805,8608,8536.400391,8572.700195,240239200
5/10/13,8583,8669.200195,8511.700195,8544.5,278400000
5/13/13,8554.200195,8574.599609,8405,8457.799805,227580600
5/14/13,8481.200195,8489.799805,8366.700195,8474.599609,259973000
5/15/13,8464.700195,8595.599609,8438.599609,8582.5,260686000
5/16/13,8569.900391,8589.700195,8521.900391,8542.299805,175163400
5/17/13,8528.099609,8590,8518.400391,8582.400391,333373600
5/20/13,8585.400391,8613.799805,8445.400391,8515.200195,192352800
5/21/13,8500.200195,8538,8398.200195,8464.5,216784400
5/22/13,8469.5,8505.5,8381.200195,8462.400391,246352400
5/23/13,8267.700195,8356.599609,8243.5,8343.599609,282410000
5/24/13,8388.799805,8394.599609,8216.5,8264.599609,189939000
5/27/13,8301.400391,8363.599609,8297.799805,8363.599609,101407000
5/28/13,8408.5,8583.599609,8398.200195,8511.299805,298979200
5/29/13,8466.200195,8495.799805,8424.200195,8441.700195,271570400
5/30/13,8404.400391,8487.099609,8395.200195,8433.5,237142600
5/31/13,8441.400391,8441.400391,8304.599609,8320.599609,306736400
6/3/13,8266.599609,8368.599609,8191.899902,8284.400391,231561400
6/4/13,8341.400391,8418.400391,8337.5,8363,204150400
6/5/13,8308.400391,8430,8283.299805,8290.700195,261977400
6/6/13,8308.599609,8418.299805,8216.700195,8216.700195,278270200
6/7/13,8229.200195,8308.700195,8165.100098,8266.599609,297871400
6/10/13,8270.799805,8321.700195,8184.600098,8227.400391,276422600
6/11/13,8179.600098,8182.5,7980.100098,8089.299805,392860200
6/12/13,8068,8245.299805,8054.5,8123.799805,276164800
6/13/13,8039.5,8098.100098,7958.600098,8071.700195,291659000
6/14/13,8101.799805,8140.600098,8053,8070.899902,243709200
6/17/13,8132.700195,8194.099609,8072.399902,8136.299805,221823400
6/18/13,8134.399902,8211,8099.299805,8180.200195,207778000
6/19/13,8178.700195,8182.100098,8079.100098,8098.299805,186335000
6/20/13,7973.5,8014,7786.899902,7822.100098,320728200
6/21/13,7859.700195,7877,7700.100098,7700.200195,448845600
6/24/13,7682.100098,7734.799805,7508.399902,7553.200195,273348600
6/25/13,7646,7674.600098,7581.299805,7607.700195,251344200
6/26/13,7636.600098,7848,7588.700195,7823,283593200
6/27/13,7826.700195,7879.600098,7709.899902,7844.399902,246997000
6/28/13,7872.5,7936.899902,7724.399902,7762.700195,235237600
7/1/13,7817,7946.100098,7745.5,7907.100098,217103200
7/2/13,7934.5,7934.5,7855.600098,7886.600098,247288200
7/3/13,7763.299805,7770.600098,7612.799805,7763.799805,276478400
7/4/13,7802.399902,8035.700195,7780.799805,8002,242192600
7/5/13,7994.600098,8030.600098,7847,7868.399902,221456600
7/8/13,7922,8068.100098,7895.200195,8017.600098,231503200
7/9/13,8058.100098,8111.5,7965.799805,8014.799805,188744800
7/10/13,7975.600098,8014.5,7896,7995,165098400
7/11/13,8083.200195,8086.600098,7980.5,8030.700195,175152800
7/12/13,8034.899902,8036.5,7800.799805,7844.700195,221675400
7/15/13,7832.399902,7918.899902,7782.600098,7855.100098,156704800
7/16/13,7868,7891.600098,7736.600098,7798.200195,189287800
7/17/13,7814,7858.100098,7702.700195,7812.700195,176349800
7/18/13,7789.600098,7964.700195,7781.5,7957.299805,192536000
7/19/13,7938.600098,7978.899902,7887.5,7943.200195,156177600
7/22/13,7954.899902,8016.899902,7917.100098,7966,140787400
